iter	Logloss
0	0.6922910564
1	0.691565651
2	0.6908329052
3	0.6899851389
4	0.6892593037
5	0.6885331107
6	0.6881757105
7	0.6874521226
8	0.6867287209
9	0.6861316428
10	0.6855366763
11	0.6849393483
12	0.6843451962
13	0.6837510888
14	0.6831569105
15	0.6826784521
16	0.6819634676
17	0.6813700832
18	0.6806567945
19	0.6800666183
20	0.6794785351
21	0.6786435582
22	0.6780554764
23	0.6777571954
24	0.6770482309
25	0.6763388909
26	0.6757574193
27	0.6748679429
28	0.6742840543
29	0.673703333
30	0.6731181458
31	0.6725404344
32	0.6719572909
33	0.6713783965
34	0.6705550589
35	0.6698558688
36	0.6692799054
37	0.6689313516
38	0.6682339221
39	0.667538137
40	0.666964218
41	0.66639027
42	0.6661003262
43	0.6655250996
44	0.6650603868
45	0.6644902281
46	0.6640813269
47	0.6632690787
48	0.6626977459
49	0.6621304438
50	0.6618401863
51	0.6611517027
52	0.6605845973
53	0.6600175247
54	0.6593307406
55	0.6587687328
56	0.6582025409
57	0.6579155698
58	0.6571130261
59	0.6565509036
60	0.655987744
61	0.6554287761
62	0.6548655167
63	0.6543075323
64	0.653746441
65	0.6530685723
66	0.6525086194
67	0.6518368438
68	0.6511607572
69	0.6504870906
70	0.6501522094
71	0.649483113
72	0.6486364469
73	0.6480846196
74	0.6475285918
75	0.647201921
76	0.6466490254
77	0.6459819451
78	0.6453135058
79	0.6447656423
80	0.6441010579
81	0.6435540348
82	0.6427745387
83	0.6422277451
84	0.6416810125
85	0.6410203546
86	0.6403614238
87	0.6398167998
88	0.6392733201
89	0.638732931
90	0.6381894335
91	0.637417151
92	0.6368758872
93	0.6362223864
94	0.6356824175
95	0.6351444364
96	0.6346066281
97	0.6339561224
98	0.6336585939
99	0.6330084667
100	0.6326896191
101	0.6320383206
102	0.6313928604
103	0.6308580279
104	0.6303231597
105	0.6297917008
106	0.6291474313
107	0.6286158502
108	0.6283222198
109	0.6277935654
110	0.6271506131
111	0.6266228497
112	0.6260920316
113	0.6258233041
114	0.625184831
115	0.6245467037
116	0.6239089936
117	0.6233857542
118	0.6228594869
119	0.6222257286
120	0.6215871185
121	0.6208442032
122	0.6203236848
123	0.6198012531
124	0.6193817556
125	0.6192766458
126	0.6186464876
127	0.6181268513
128	0.6174973577
129	0.6169798076
130	0.6164623678
131	0.6161536425
132	0.615416497
133	0.6151077479
134	0.6145968437
135	0.6138599068
136	0.6133479387
137	0.6128340453
138	0.6123221606
139	0.6116990983
140	0.6110784769
141	0.6105689377
142	0.6099489868
143	0.6096475035
144	0.6092311084
145	0.6087205559
146	0.6082154095
147	0.6078524649
148	0.6072372079
149	0.6066220045
150	0.6061199963
151	0.6055046111
152	0.6050026029
153	0.6043897241
154	0.6037823826
155	0.6032775402
156	0.6026692688
157	0.6020628572
158	0.6014561564
159	0.60084773
160	0.6003483891
161	0.5996357143
162	0.5989275366
163	0.5984284371
164	0.5978271663
165	0.5973313183
166	0.5968375057
167	0.5963450372
168	0.5958493054
169	0.595248127
170	0.5947581798
171	0.5942649007
172	0.5939751476
173	0.5932709336
174	0.5930198431
175	0.5924266875
176	0.5919371635
177	0.591446653
178	0.5909584433
179	0.5905599684
180	0.5900737852
181	0.5894838393
182	0.5892361224
183	0.5887519628
184	0.5881607354
185	0.5875759751
186	0.5868829042
187	0.5861894727
188	0.5857990116
189	0.5852151752
190	0.5847314864
191	0.5839950264
192	0.5833091915
193	0.5826235145
194	0.5821433455
195	0.5815654188
196	0.5809874028
197	0.5805105001
198	0.5800337285
199	0.5793040305
200	0.5790622801
201	0.5784845203
202	0.5781474829
203	0.5778646946
204	0.5772865444
205	0.576714614
206	0.5762433976
207	0.5757701188
208	0.5752991676
209	0.5746276259
210	0.5741601437
211	0.5736916006
212	0.5730184317
213	0.572454989
214	0.5718852103
215	0.5713186443
216	0.5708517134
217	0.5703870833
218	0.5700505078
219	0.5695869267
220	0.5691235125
221	0.568662256
222	0.5681969285
223	0.5677379012
224	0.5672726512
225	0.5667167008
226	0.5662569463
227	0.5657940924
228	0.565337646
229	0.5647769332
230	0.5641220689
231	0.5636660457
232	0.5630127668
233	0.5625569105
234	0.5621001542
235	0.5616423905
236	0.5614134729
237	0.5608614206
238	0.5603106499
239	0.5598543286
240	0.5594023526
241	0.5589514852
242	0.5584031224
243	0.5580819607
244	0.5574351132
245	0.5568877816
246	0.5563413143
247	0.5558921814
248	0.555345571
249	0.55480389
250	0.554357177
251	0.5541306257
252	0.5539064586
